filename treatment update average
edit_explode_denovo_00002_52 edit_explode_denovo_00002 27000 4.43922
edit_explode_denovo_00002_52 edit_explode_denovo_00002 28000 4.3532
edit_explode_denovo_00002_52 edit_explode_denovo_00002 29000 4.70455
edit_explode_denovo_00002_52 edit_explode_denovo_00002 30000 4.82523
edit_explode_denovo_00002_52 edit_explode_denovo_00002 31000 5.98278
edit_explode_denovo_00002_52 edit_explode_denovo_00002 32000 5.82283
edit_explode_denovo_00002_52 edit_explode_denovo_00002 33000 5.62818
edit_explode_denovo_00002_52 edit_explode_denovo_00002 34000 5.09894
edit_explode_denovo_00002_52 edit_explode_denovo_00002 35000 5.15429
edit_explode_denovo_00002_52 edit_explode_denovo_00002 36000 5.9238
edit_explode_denovo_00002_52 edit_explode_denovo_00002 37000 7.23676
edit_explode_denovo_00002_52 edit_explode_denovo_00002 38000 5.67915
edit_explode_denovo_00002_52 edit_explode_denovo_00002 39000 2.38028
edit_explode_denovo_00002_52 edit_explode_denovo_00002 40000 2.37842
edit_explode_denovo_00002_52 edit_explode_denovo_00002 41000 2.44303
edit_explode_denovo_00002_52 edit_explode_denovo_00002 42000 2.3806
edit_explode_denovo_00002_52 edit_explode_denovo_00002 43000 2.44449
edit_explode_denovo_00002_52 edit_explode_denovo_00002 44000 2.58699
edit_explode_denovo_00002_52 edit_explode_denovo_00002 45000 2.85999
edit_explode_denovo_00002_52 edit_explode_denovo_00002 46000 2.97501
edit_explode_denovo_00002_52 edit_explode_denovo_00002 47000 2.82209
edit_explode_denovo_00002_52 edit_explode_denovo_00002 48000 2.78085
edit_explode_denovo_00002_52 edit_explode_denovo_00002 49000 2.84505
edit_explode_denovo_00002_52 edit_explode_denovo_00002 50000 2.81252
edit_explode_denovo_00002_52 edit_explode_denovo_00002 51000 2.86689
edit_explode_denovo_00002_52 edit_explode_denovo_00002 52000 2.97169
edit_explode_denovo_00002_52 edit_explode_denovo_00002 53000 3.28112
edit_explode_denovo_00002_52 edit_explode_denovo_00002 54000 3.54253
edit_explode_denovo_00002_52 edit_explode_denovo_00002 55000 3.56507
edit_explode_denovo_00002_52 edit_explode_denovo_00002 56000 3.52238
edit_explode_denovo_00002_52 edit_explode_denovo_00002 57000 3.45847
edit_explode_denovo_00002_52 edit_explode_denovo_00002 58000 3.21844
edit_explode_denovo_00002_52 edit_explode_denovo_00002 59000 3.39311
edit_explode_denovo_00002_52 edit_explode_denovo_00002 60000 3.35749
edit_explode_denovo_00002_53 edit_explode_denovo_00002 0 -nan
edit_explode_denovo_00002_53 edit_explode_denovo_00002 1000 0.251987
edit_explode_denovo_00002_53 edit_explode_denovo_00002 2000 0.360872
edit_explode_denovo_00002_53 edit_explode_denovo_00002 3000 0.481247
edit_explode_denovo_00002_53 edit_explode_denovo_00002 4000 0.494998
edit_explode_denovo_00002_53 edit_explode_denovo_00002 5000 0.594241
edit_explode_denovo_00002_53 edit_explode_denovo_00002 6000 0.805085
edit_explode_denovo_00002_53 edit_explode_denovo_00002 7000 0.940392
edit_explode_denovo_00002_53 edit_explode_denovo_00002 8000 1.07919
edit_explode_denovo_00002_53 edit_explode_denovo_00002 9000 1.22827
edit_explode_denovo_00002_53 edit_explode_denovo_00002 10000 1.31987
edit_explode_denovo_00002_53 edit_explode_denovo_00002 11000 1.51018
edit_explode_denovo_00002_53 edit_explode_denovo_00002 12000 1.68646
edit_explode_denovo_00002_53 edit_explode_denovo_00002 13000 1.76598
edit_explode_denovo_00002_53 edit_explode_denovo_00002 14000 1.96519
edit_explode_denovo_00002_53 edit_explode_denovo_00002 15000 2.11924
edit_explode_denovo_00002_53 edit_explode_denovo_00002 16000 2.34893
edit_explode_denovo_00002_53 edit_explode_denovo_00002 17000 2.4667
edit_explode_denovo_00002_53 edit_explode_denovo_00002 18000 2.63051
edit_explode_denovo_00002_53 edit_explode_denovo_00002 19000 2.75048
edit_explode_denovo_00002_53 edit_explode_denovo_00002 20000 2.88179
edit_explode_denovo_00002_53 edit_explode_denovo_00002 21000 3.15797
edit_explode_denovo_00002_53 edit_explode_denovo_00002 22000 3.23162
edit_explode_denovo_00002_53 edit_explode_denovo_00002 23000 3.57542
edit_explode_denovo_00002_53 edit_explode_denovo_00002 24000 3.91013
edit_explode_denovo_00002_53 edit_explode_denovo_00002 25000 4.27468
edit_explode_denovo_00002_53 edit_explode_denovo_00002 26000 4.38402
edit_explode_denovo_00002_53 edit_explode_denovo_00002 27000 4.44613
edit_explode_denovo_00002_53 edit_explode_denovo_00002 28000 4.41574
edit_explode_denovo_00002_53 edit_explode_denovo_00002 29000 4.51703
edit_explode_denovo_00002_53 edit_explode_denovo_00002 30000 4.66359
edit_explode_denovo_00002_53 edit_explode_denovo_00002 31000 4.59324
edit_explode_denovo_00002_53 edit_explode_denovo_00002 32000 4.8011
edit_explode_denovo_00002_53 edit_explode_denovo_00002 33000 4.76394
edit_explode_denovo_00002_53 edit_explode_denovo_00002 34000 4.9535
edit_explode_denovo_00002_53 edit_explode_denovo_00002 35000 6.46408
edit_explode_denovo_00002_53 edit_explode_denovo_00002 36000 2.7978
edit_explode_denovo_00002_53 edit_explode_denovo_00002 37000 3.25312
edit_explode_denovo_00002_53 edit_explode_denovo_00002 38000 5.26943
edit_explode_denovo_00002_53 edit_explode_denovo_00002 39000 4.85979
edit_explode_denovo_00002_53 edit_explode_denovo_00002 40000 2.45167
edit_explode_denovo_00002_53 edit_explode_denovo_00002 41000 1.50439
edit_explode_denovo_00002_53 edit_explode_denovo_00002 42000 1.61832
edit_explode_denovo_00002_53 edit_explode_denovo_00002 43000 1.96896
edit_explode_denovo_00002_53 edit_explode_denovo_00002 44000 2.35991
edit_explode_denovo_00002_53 edit_explode_denovo_00002 45000 2.48738
edit_explode_denovo_00002_53 edit_explode_denovo_00002 46000 2.54965
